
PMT 25 - PMT 22 - Run 2279- Co60 Source - Pos 1 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2280 - Co60 Source - Pos 2 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2281 - Co60 Source - Pos 3 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2282 - Co60 Source - Pos 4 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2283 - Co60 Source - Pos 5 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2284 - Co60 Source - Pos 6 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2285 - Co60 Source - Pos 7 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2286 - Co60 Source - Pos 8 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2287 - Co60 Source - Pos 9 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2288 - Co60 Source - Pos 10 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2289 - Co60 Source - Pos 11 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2290 - Co60 Source - Pos 12 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2291 - Co60 Source - Pos 13 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2292 - Co60 Source - Pos 14 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2293 - Co60 Source - Pos 15 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2294 - Co60 Source - Pos 16 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2295 - Co60 Source - Pos 17 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2296 - Co60 Source - Pos 18 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2297 - Co60 Source - Pos 19 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2298 - Co60 Source - Pos 20 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2299 - Co60 Source - Pos 21 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2300 - Co60 Source - Pos 22 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2301 - Co60 Source - Pos 23 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2302 - Co60 Source - Pos 24 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2303 - Co60 Source - Pos 25 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2304 - Co60 Source - Pos 26 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2305 - Co60 Source - Pos 27 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2306 - Co60 Source - Pos 28 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2307 - Co60 Source - Pos 29 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2308 - Co60 Source - Pos 30 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2309 - Co60 Source - Pos 31 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2310 - Co60 Source - Pos 32 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2311 - Co60 Source - Pos 33 - 1000V - Trigger 15 mV
PMT 25 - PMT 22 - Run 2312 - Co60 Source - Pos 34 - 1000V - Trigger 15 mV
